a14	华航	北京	上海	多云	晴	18:20	19:25	T1/T2	450	600	680km	78%
a16	川航	北京	上海	多云	晴	12:20	16:30	T4/T2	462	600	680km	95%
a17	南航	北京	上海	多云	晴	17:50	18:00	T4/T2	460	700	680km	93%
a609	马航	北京	上海	多云	晴	10:30	15:30	T4/T2	330	800	680km	98%
a918	深航	北京	上海	多云	晴	15:30	19:50	T1/T2	550	700	680km	92%
a1324	华航	北京	上海	多云	晴	18:00	19:50	T1/T2	720	700	680km	93%
a1092	华航	北京	上海	多云	晴	18:00	18:20	T1/T3	650	700	680km	93%
a1258	华航	北京	上海	多云	晴	12:20	14:00	T4/T2	450	650	680km	78%
a1258	华航	北京	上海	多云	晴	12:20	13:00	T4/T2	450	650	680km	78%
a1258	华航	北京	上海	多云	晴	12:20	14:00	T4/T2	450	650	680km	78%
ca483	南航	北京	广州	晴	晴	12:20	15:30	T1/T3	720	650	480km	95%
a888	华航	北京	广州	晴	晴	10:30	19:25	T3/T2	650	650	480km	87%
a455	华航	北京	广州	晴	晴	14:00	16:30	T1/T3	550	650	480km	93%
a663	马航	北京	广州	晴	晴	18:00	18:20	T3/T2	380	650	480km	95%
a1093	中航	北京	广州	晴	晴	7:30	18:00	T2/T3	460	650	480km	93%
a1903	国航	北京	广州	晴	晴	12:20	18:00	T1/T3	550	660	480km	87%
