a280	国航	北京	上海	晴	晴	8:30	19:00	T3/T2	450	660km	95%
a1533	华航	北京	深圳	晴	晴	14:00	17:50	T3/T2	330	660km	95%
a888	华航	北京	广州	晴	晴	10:30	19:25	T3/T2	650	480km	87%
a1457	深航	北京	杭州	晴	晴	17:50	18:00	T4/T2	360	725km	98%
a822	国航	北京	广州	晴	晴	12:20	19:00	T4/T2	380	480km	93%
a440	国航	北京	广州	小雪	小雨	8:30	10:30	T2/T3	435	560km	87%
a394	东航	北京	广州	小雪	小雨	12:20	15:00	T1/T3	450	560km	98%
a1667	华航	北京	天津	晴	小雨	7:30	12:20	T4/T2	550	680km	78%
a1248	国航	北京	广州	小雪	小雨	17:50	19:50	T4/T2	380	560km	87%
a499	华航	北京	广州	小雪	小雨	14:00	18:00	T4/T2	450	560km	89%
a1780	东航	北京	广州	小雪	小雨	7:30	18:00	T2/T3	380	560km	87%
a1501	东航	北京	深圳	晴	晴	10:30	19:50	T3/T2	380	660km	95%
a390	南航	北京	深圳	晴	晴	18:00	19:00	T3/T2	720	660km	89%
a467	南航	北京	深圳	晴	晴	8:30	19:50	T1/T2	550	660km	98%
a423	华航	北京	深圳	晴	晴	15:30	19:25	T1/T3	998	660km	98%
a764	东航	北京	深圳	晴	晴	17:50	19:00	T4/T2	720	660km	95%
a334	中航	北京	深圳	晴	晴	12:20	17:50	T4/T2	650	660km	87%
a944	南航	北京	深圳	晴	晴	8:30	16:30	T1/T2	380	660km	78%
a1822	国航	北京	杭州	晴	晴	10:30	19:50	T2/T3	462	725km	89%
a1274	川航	北京	杭州	晴	晴	8:30	15:00	T2/T3	330	725km	93%
a561	中航	北京	杭州	晴	晴	8:30	15:00	T1/T3	360	725km	89%
a1467	华航	北京	杭州	晴	晴	14:00	15:30	T2/T3	650	725km	98%
a1053	华航	北京	杭州	晴	晴	14:00	19:25	T1/T2	360	725km	95%
a1480	国航	北京	杭州	晴	晴	17:50	18:00	T4/T2	720	725km	95%
a376	川航	北京	杭州	晴	晴	12:20	18:00	T2/T3	460	725km	87%
a1714	马航	北京	天津	晴	小雨	14:00	19:00	T1/T3	550	680km	78%
a580	川航	北京	天津	晴	小雨	14:00	19:25	T1/T2	330	680km	92%
a350	马航	北京	天津	晴	小雨	15:00	17:50	T1/T2	360	680km	98%
a696	中航	北京	天津	晴	小雨	17:50	19:00	T1/T2	998	680km	87%
a1548	东航	北京	天津	晴	小雨	10:30	14:00	T4/T2	460	680km	89%
